id,ACTION
1,0.228458
2,0.461058
3,0.819674
4,0.555948
5,0.952173
6,0.968585
7,0.216222
8,0.980856
9,0.120161
10,0.733355
11,0.133806
12,0.776311
13,0.188931
14,0.142818
15,0.129003
16,0.158432
17,0.135707
18,0.148809
19,0.929567
20,0.800869
21,0.984878
22,0.815074
23,0.392526
24,0.352387
25,0.407834
26,0.136352
27,0.375078
28,0.240135
29,0.715365
30,0.178595
31,0.503742
32,0.798764
33,0.633119
34,0.632932
35,0.772611
36,0.851649
37,0.631099
38,0.774664
39,0.159247
40,0.165493
41,0.316509
42,0.605998
43,0.849120
44,0.628027
45,0.722968
46,0.555659
47,0.629979
48,0.357479
49,0.909693
50,0.240525
51,0.305867
52,0.983418
53,0.759593
54,0.812104
55,0.151050
56,0.239507
57,0.419290
58,0.820862
59,0.390540
60,0.356002
61,0.852005
62,0.914598
63,0.548107
64,0.929397
65,0.559427
66,0.190475
67,0.295531
68,0.861645
69,0.240254
70,0.028818
71,0.833591
72,0.514197
73,0.874323
74,0.810509
75,0.840770
76,0.809779
77,0.560768
78,0.196670
79,0.032450
80,0.961050
81,0.647579
82,0.811375
83,0.318240
84,0.869571
85,0.917211
86,0.283702
87,0.408004
88,0.477606
89,0.885423
90,0.167241
91,0.531254
92,0.037627
93,0.957265
94,0.460413
95,0.597240
96,0.273332
97,0.003751
98,0.366457
99,0.828771
100,0.949814
101,0.254901
102,0.049745
103,0.596765
104,0.352828
105,0.047657
106,0.566436
107,0.564162
108,0.494034
109,0.842077
110,0.394545
111,0.024643
112,0.414182
113,0.173741
114,0.495002
115,0.463366
116,0.653502
117,0.648241
118,0.912001
119,0.824969
120,0.339132
121,0.432359
122,0.652993
123,0.297670
124,0.604470
125,0.794606
126,0.264388
127,0.230580
128,0.176813
129,0.221992
130,0.371497
131,0.827600
132,0.696458
133,0.366728
134,0.161793
135,0.802396
136,0.798052
137,0.879839
138,0.581915
139,0.103342
140,0.853193
141,0.911475
142,0.484496
143,0.880196
144,0.472497
145,0.729146
146,0.083485
147,0.123419
148,0.202610
149,0.875545
150,0.758405
151,0.766569
152,0.041870
153,0.767299
154,0.270769
155,0.553487
156,0.182074
157,0.532917
158,0.721050
159,0.086217
160,0.346243
161,0.106872
162,0.823900
163,0.596052
164,0.471309
165,0.416711
166,0.721356
167,0.242613
168,0.401334
169,0.757234
170,0.851072
171,0.624531
172,0.727839
173,0.197162
174,0.344750
175,0.324893
176,0.633458
177,0.387909
178,0.819572
179,0.994654
180,0.378473
181,0.071384
182,0.329068
183,0.154308
184,0.110606
185,0.726125
186,0.166257
187,0.853872
188,0.816585
189,0.034198
190,0.343816
191,0.813275
192,0.215390
193,0.845030
194,0.578588
195,0.279883
196,0.951936
197,0.368510
198,0.359142
199,0.741518
200,0.024983
201,0.451537
202,0.244123
203,0.412841
204,0.404066
205,0.556236
206,0.556033
207,0.419053
208,0.446089
209,0.055396
210,0.028733
211,0.093362
212,0.596239
213,0.985795
214,0.299740
215,0.774393
216,0.139305
217,0.463689
218,0.859099
219,0.898423
220,0.264761
221,0.054700
222,0.962747
223,0.509784
224,0.200862
225,0.545731
226,0.028649
227,0.229375
228,0.795625
229,0.913613
230,0.910202
231,0.329577
232,0.148911
233,0.495222
234,0.006025
235,0.507900
236,0.135351
237,0.770642
238,0.128240
239,0.124709
240,0.900935
241,0.212403
242,0.033095
243,0.023540
244,0.862256
245,0.560921
246,0.990258
247,0.504489
248,0.780027
249,0.601110
250,0.810984
251,0.451028
252,0.077018
253,0.483834
254,0.684136
255,0.829365
256,0.266866
257,0.389963
258,0.159587
259,0.550364
260,0.715483
261,0.554013
262,0.512211
263,0.651975
264,0.939054
265,0.966005
266,0.527673
267,0.742605
268,0.876173
269,0.389725
270,0.737598
271,0.741484
272,0.136403
273,0.898050
274,0.008656
275,0.689432
276,0.252083
277,0.274639
278,0.634748
279,0.295684
280,0.300555
281,0.998405
282,0.790075
283,0.270922
284,0.292816
285,0.825207
286,0.142801
287,0.903040
288,0.819759
289,0.866160
290,0.938901
291,0.078342
292,0.031992
293,0.653621
294,0.315524
295,0.591419
296,0.013713
297,0.023065
298,0.276183
299,0.119414
300,0.702364
301,0.130480
302,0.726295
303,0.085691
304,0.246703
305,0.786579
306,0.577180
307,0.968891
308,0.979820
309,0.288267
310,0.548837
311,0.433139
312,0.543117
313,0.909353
314,0.797950
315,0.802549
316,0.731810
317,0.234789
318,0.424144
319,0.459480
320,0.924305
321,0.526960
322,0.003140
323,0.941888
324,0.763174
325,0.715008
