id,ACTION
1,0.738421
2,0.974049
3,0.973283
4,0.974324
5,0.975801
6,0.973589
7,0.962964
8,0.973997
9,0.957781
10,0.972163
11,0.963413
12,0.970294
13,0.966531
14,0.962801
15,0.948742
16,0.968157
17,0.962948
18,0.968633
19,0.973866
20,0.973273
21,0.981034
22,0.972478
23,0.973845
24,0.970274
25,0.972422
26,0.949048
27,0.964367
28,0.962088
29,0.972597
30,0.962557
31,0.973316
32,0.973073
33,0.965254
34,0.970655
35,0.972338
36,0.972679
37,0.969445
38,0.967690
39,0.965064
40,0.958452
41,0.970739
42,0.967309
43,0.971949
44,0.973121
45,0.970046
46,0.974816
47,0.971684
48,0.968704
49,0.967735
50,0.964760
51,0.967501
52,0.975569
53,0.973235
54,0.971214
55,0.962018
56,0.972366
57,0.972319
58,0.969820
59,0.971879
60,0.966697
61,0.974893
62,0.973495
63,0.968691
64,0.974844
65,0.967847
66,0.966756
67,0.970974
68,0.969938
69,0.963142
70,0.898905
71,0.973639
72,0.973275
73,0.973831
74,0.974391
75,0.970419
76,0.967714
77,0.967323
78,0.962099
79,0.471925
80,0.978748
81,0.964580
82,0.977661
83,0.964479
84,0.970078
85,0.976072
86,0.973436
87,0.968646
88,0.971570
89,0.970999
90,0.933535
91,0.970560
92,0.954295
93,0.973236
94,0.965630
95,0.972943
96,0.967286
97,0.252482
98,0.961615
99,0.969875
100,0.970823
101,0.962606
102,0.958608
103,0.970263
104,0.969673
105,0.705308
106,0.966869
107,0.971152
108,0.970729
109,0.971106
110,0.967736
111,0.815146
112,0.968494
113,0.966598
114,0.961746
115,0.971821
116,0.972589
117,0.971567
118,0.968968
119,0.972077
120,0.965548
121,0.945550
122,0.970099
123,0.970330
124,0.969040
125,0.972253
126,0.963868
127,0.967744
128,0.958393
129,0.971291
130,0.963031
131,0.974543
132,0.971103
133,0.970442
134,0.948592
135,0.968315
136,0.970194
137,0.973960
138,0.970871
139,0.960448
140,0.972987
141,0.975893
142,0.961139
143,0.972725
144,0.969398
145,0.971120
146,0.961291
147,0.966598
148,0.966945
149,0.973249
150,0.973877
151,0.971538
152,0.910218
153,0.973589
154,0.971375
155,0.972950
156,0.953413
157,0.969399
158,0.966650
159,0.803135
160,0.972552
161,0.939679
162,0.971425
163,0.967521
164,0.972093
165,0.971847
166,0.964876
167,0.957552
168,0.974849
169,0.971052
170,0.970052
171,0.971539
172,0.967882
173,0.965802
174,0.964715
175,0.970743
176,0.969565
177,0.966420
178,0.970734
179,0.979906
180,0.972678
181,0.962345
182,0.963029
183,0.897477
184,0.947326
185,0.972645
186,0.956968
187,0.970136
188,0.964706
189,0.566747
190,0.969078
191,0.974963
192,0.970279
193,0.975663
194,0.968131
195,0.968204
196,0.973052
197,0.966762
198,0.974074
199,0.972615
200,0.274705
201,0.963107
202,0.961482
203,0.972036
204,0.957916
205,0.961489
206,0.967213
207,0.972873
208,0.972114
209,0.900048
210,0.587357
211,0.952123
212,0.972005
213,0.973944
214,0.969557
215,0.974785
216,0.924216
217,0.971838
218,0.971021
219,0.970412
220,0.966392
221,0.864892
222,0.972563
223,0.964408
224,0.968436
225,0.970200
226,0.570456
227,0.967720
228,0.973927
229,0.972221
230,0.974005
231,0.965751
232,0.952242
233,0.967530
234,0.070995
235,0.971140
236,0.959147
237,0.978462
238,0.967978
239,0.936904
240,0.972974
241,0.966683
242,0.753816
243,0.170410
244,0.974473
245,0.972045
246,0.978741
247,0.970103
248,0.968826
249,0.969793
250,0.971561
251,0.968025
252,0.954501
253,0.965508
254,0.965833
255,0.969238
256,0.965472
257,0.969210
258,0.964108
259,0.970963
260,0.973689
261,0.970039
262,0.968141
263,0.970987
264,0.971671
265,0.971733
266,0.972458
267,0.975815
268,0.970926
269,0.969712
270,0.970586
271,0.971957
272,0.961532
273,0.972923
274,0.386749
275,0.970286
276,0.971956
277,0.965179
278,0.970734
279,0.962016
280,0.971030
281,0.975539
282,0.968413
283,0.961280
284,0.971519
285,0.968840
286,0.953814
287,0.970577
288,0.971529
289,0.971636
290,0.975825
291,0.956517
292,0.951967
293,0.974554
294,0.961609
295,0.969757
296,0.006052
297,0.640908
298,0.965793
299,0.971951
300,0.968292
301,0.961388
302,0.973796
303,0.952456
304,0.968638
305,0.972034
306,0.972230
307,0.975633
308,0.975255
309,0.970468
310,0.969738
311,0.963360
312,0.970146
313,0.975894
314,0.969067
315,0.970534
316,0.965594
317,0.945830
318,0.971766
319,0.970591
320,0.978960
321,0.971461
322,0.002528
323,0.972925
324,0.968613
325,0.962807
326,0.959614
327,0.970433
328,0.971084
329,0.965368
330,0.972058
331,0.972459
332,0.969563
333,0.973908
334,0.970566
335,0.974759
336,0.968747
337,0.971499
338,0.962088
339,0.972696
340,0.966495
341,0.970013
342,0.971904
343,0.964654
344,0.973570
345,0.967477
346,0.964637
347,0.970430
348,0.968017
349,0.972857
350,0.928768
351,0.970020
352,0.966918
353,0.971772
354,0.837467
355,0.976307
356,0.968212
357,0.961862
358,0.965738
359,0.972189
360,0.935381
361,0.972584
362,0.968348
363,0.978358
364,0.948799
365,0.970441
366,0.970516
367,0.969295
368,0.973252
369,0.974212
370,0.972247
371,0.972446
372,0.962518
373,0.946388
374,0.347352
375,0.971755
376,0.966969
377,0.882910
378,0.965208
379,0.972039
380,0.749233
381,0.952747
382,0.971189
383,0.975757
384,0.961070
385,0.964315
386,0.971609
387,0.916310
388,0.964874
389,0.973827
390,0.972448
391,0.962608
392,0.966688
393,0.967338
394,0.973867
395,0.960741
396,0.972403
397,0.969205
398,0.967958
399,0.970512
400,0.972382
401,0.969845
402,0.970670
403,0.972878
404,0.953075
405,0.967680
406,0.960133
407,0.950147
408,0.968776
409,0.972447
410,0.967678
411,0.974265
412,0.926917
413,0.963856
414,0.967585
415,0.974280
416,0.966811
417,0.973302
418,0.965168
419,0.959289
420,0.971468
421,0.967203
422,0.970435
423,0.964684
424,0.963094
425,0.972872
426,0.974576
427,0.967053
428,0.975388
429,0.967866
430,0.973141
431,0.969070
432,0.961565
433,0.970405
434,0.970137
435,0.964517
436,0.972073
437,0.962424
438,0.439109
439,0.966431
440,0.109824
441,0.964516
442,0.970572
443,0.966958
444,0.971415
445,0.965102
446,0.974659
447,0.961919
448,0.971972
449,0.973709
450,0.971369
451,0.944790
452,0.971351
453,0.971898
454,0.959445
455,0.963159
456,0.972954
457,0.968708
458,0.961591
459,0.969032
460,0.850986
461,0.917360
462,0.973398
463,0.971154
464,0.970272
465,0.976744
466,0.975075
467,0.051385
468,0.964265
469,0.974010
470,0.972515
471,0.970758
472,0.965896
473,0.975617
474,0.969776
475,0.972546
476,0.966647
477,0.971779
478,0.969541
479,0.972099
480,0.969279
481,0.968673
482,0.970391
483,0.970380
484,0.972919
485,0.972476
486,0.973755
487,0.966229
488,0.974124
489,0.968342
490,0.972177
491,0.972464
492,0.968996
493,0.966382
494,0.972504
495,0.971429
496,0.970167
497,0.965220
498,0.971643
499,0.972166
500,0.969200
501,0.971885
502,0.945912
503,0.959661
504,0.966485
505,0.959984
506,0.970308
507,0.969095
508,0.969184
509,0.971227
510,0.001741
511,0.967026
512,0.964499
513,0.968667
514,0.941568
515,0.972943
516,0.973561
517,0.970844
518,0.952198
519,0.970722
520,0.864994
521,0.972261
522,0.948803
523,0.973884
524,0.003004
525,0.962122
526,0.704159
527,0.969128
528,0.971913
529,0.963203
530,0.964901
531,0.974150
532,0.966075
533,0.965742
534,0.965379
535,0.972170
536,0.974361
537,0.965244
538,0.967536
539,0.970114
540,0.951559
541,0.971978
542,0.968256
543,0.935952
544,0.961732
545,0.962485
546,0.972822
547,0.717044
548,0.960454
549,0.938680
550,0.970846
551,0.972144
552,0.963080
553,0.968060
554,0.961344
555,0.963346
556,0.973059
557,0.970733
558,0.967587
559,0.970048
560,0.970183
561,0.961489
562,0.972063
563,0.974895
564,0.953153
565,0.965665
566,0.961515
567,0.969039
568,0.964326
569,0.970832
570,0.968225
571,0.815232
572,0.964752
573,0.941695
574,0.958756
575,0.968394
576,0.973392
577,0.967902
578,0.966922
579,0.941046
580,0.965072
581,0.973609
582,0.965188
583,0.971740
584,0.970376
585,0.975795
586,0.955764
587,0.970663
588,0.967340
589,0.962656
590,0.966687
591,0.969854
592,0.971526
593,0.946883
594,0.968652
595,0.973582
596,0.972727
597,0.968465
598,0.966938
599,0.964454
600,0.967341
601,0.962599
602,0.963974
603,0.975072
604,0.968008
605,0.970271
606,0.967464
607,0.967956
608,0.964538
609,0.962412
610,0.968916
611,0.974994
612,0.961521
613,0.974383
614,0.836252
615,0.973201
616,0.286376
617,0.969052
618,0.964355
619,0.973714
620,0.965846
621,0.962581
622,0.970323
623,0.970987
624,0.783072
625,0.967687
626,0.976000
627,0.974200
628,0.972695
629,0.970116
630,0.974312
631,0.971036
632,0.969786
633,0.973542
634,0.977079
635,0.965590
636,0.973882
637,0.970444
638,0.968030
639,0.966384
640,0.973626
641,0.967667
642,0.964639
643,0.973082
644,0.956916
645,0.970984
646,0.960506
647,0.964218
648,0.966391
649,0.968385
650,0.967878
651,0.964829
652,0.975055
653,0.666676
654,0.967290
655,0.922522
