id,ACTION
1,0.999767
2,0.999220
3,0.999292
4,0.992386
5,0.999041
6,0.999830
7,0.998642
8,0.999864
9,0.876161
10,0.999742
11,0.977303
12,0.999726
13,0.995556
14,0.995737
15,0.994030
16,0.974465
17,0.985605
18,0.984265
19,0.999857
20,0.999589
21,0.999935
22,0.999986
23,0.990651
24,0.998419
25,0.996169
26,0.983448
27,0.998330
28,0.998748
29,0.999499
30,0.981561
31,0.976395
32,0.998929
33,0.999628
34,0.998923
35,0.999253
36,0.999858
37,0.999482
38,0.999816
39,0.956166
40,0.994614
41,0.993046
42,0.998864
43,0.999124
44,0.998935
45,0.999869
46,0.998702
47,0.999568
48,0.996237
49,0.999997
50,0.997103
51,0.992213
52,0.999907
53,0.998029
54,0.999825
55,0.979261
56,0.994385
57,0.995852
58,0.999833
59,0.995655
60,0.997559
61,0.999656
62,0.999941
63,0.985271
64,0.999431
65,0.998708
66,0.997103
67,0.988991
68,0.999922
69,0.982531
70,0.452739
71,0.997761
72,0.995932
73,0.999432
74,0.999802
75,0.999721
76,0.999873
77,0.999196
78,0.921611
79,0.202731
80,0.999850
81,0.999650
82,0.998870
83,0.994730
84,0.999519
85,0.998835
86,0.985983
87,0.986730
88,0.996822
89,0.999871
90,0.984001
91,0.998324
92,0.442802
93,0.999907
94,0.999484
95,0.996780
96,0.998333
97,0.019465
98,0.998922
99,0.999893
100,0.999907
101,0.981818
102,0.816464
103,0.999170
104,0.998271
105,0.981606
106,0.999517
107,0.996988
108,0.999070
109,0.999889
110,0.999101
111,0.393372
112,0.996994
113,0.990399
114,0.998365
115,0.998954
116,0.997114
117,0.999812
118,0.999973
119,0.999838
120,0.997218
121,0.998436
122,0.999480
123,0.995301
124,0.996587
125,0.998965
126,0.999386
127,0.997173
128,0.998140
129,0.982871
130,0.999322
131,0.999168
132,0.998859
133,0.997647
134,0.998885
135,0.999801
136,0.998754
137,0.999702
138,0.999319
139,0.876025
140,0.998208
141,0.999913
142,0.999756
143,0.999684
144,0.998393
145,0.998675
146,0.929166
147,0.964514
148,0.996293
149,0.999654
150,0.999644
151,0.998805
152,0.957836
153,0.998025
154,0.990975
155,0.998513
156,0.959059
157,0.991169
158,0.999755
159,0.943742
160,0.993359
161,0.990870
162,0.999252
163,0.997423
164,0.995513
165,0.998337
166,0.999593
167,0.991860
168,0.919598
169,0.999818
170,0.999273
171,0.994697
172,0.998752
173,0.998451
174,0.997009
175,0.990781
176,0.995872
177,0.981003
178,0.999939
179,0.999980
180,0.998343
181,0.178435
182,0.998869
183,0.993193
184,0.916112
185,0.999043
186,0.997724
187,0.999831
188,0.996911
189,0.891331
190,0.978760
191,0.997191
192,0.990280
193,0.998415
194,0.999346
195,0.995938
196,0.999888
197,0.996863
198,0.991131
199,0.999187
200,0.787548
201,0.999910
202,0.993985
203,0.997730
204,0.994229
205,0.999722
206,0.999808
