id,ACTION
1,0.500190
2,0.500452
3,0.500829
4,0.500387
5,0.501159
6,0.500887
7,0.500643
8,0.501120
9,0.500327
10,0.500409
11,0.500441
12,0.500528
13,0.500463
14,0.500215
15,0.500759
16,0.500439
17,0.500651
18,0.500423
19,0.500769
20,0.500753
21,0.501126
22,0.500873
23,0.500363
24,0.500668
25,0.500401
26,0.500448
27,0.501365
28,0.500206
29,0.500741
30,0.500665
31,0.500606
32,0.500342
33,0.500568
34,0.500759
35,0.500525
36,0.500517
37,0.500631
38,0.501061
39,0.500492
40,0.500358
41,0.500407
42,0.500633
43,0.500876
44,0.500618
45,0.500557
46,0.500425
47,0.501102
48,0.500569
49,0.501517
50,0.510522
51,0.500857
52,0.500608
53,0.500690
54,0.500762
55,0.500588
56,0.500388
57,0.500426
58,0.500807
59,0.500706
60,0.500573
61,0.500778
62,0.500727
63,0.500478
64,0.500880
65,0.501010
66,0.500542
67,0.510724
68,0.500858
69,0.500586
70,0.500168
71,0.500434
72,0.500774
73,0.500696
74,0.500844
75,0.500995
76,0.501032
77,0.500931
78,0.500189
79,0.500442
80,0.500759
81,0.501199
82,0.500422
83,0.500592
84,0.500682
85,0.500654
86,0.500253
87,0.500463
88,0.500711
89,0.500720
90,0.500396
91,0.500639
92,0.500324
93,0.500891
94,0.500366
95,0.500668
96,0.500530
97,0.500172
98,0.500761
99,0.500907
100,0.500584
101,0.500601
102,0.500207
103,0.501012
104,0.500334
105,0.500261
106,0.500733
107,0.500628
108,0.500655
109,0.500871
110,0.500413
111,0.500141
112,0.500617
113,0.500393
114,0.500952
115,0.500431
116,0.500582
117,0.500556
118,0.500647
119,0.501045
120,0.500714
121,0.500696
122,0.500679
123,0.500289
124,0.500517
125,0.500438
126,0.500419
127,0.500314
128,0.500268
129,0.500344
130,0.500561
131,0.500730
132,0.500617
133,0.500502
134,0.500284
135,0.500652
136,0.500540
137,0.500805
138,0.500510
139,0.500292
140,0.500685
141,0.500870
142,0.500666
143,0.500788
144,0.500674
145,0.500683
146,0.500012
147,0.500115
148,0.500186
149,0.500876
150,0.500712
151,0.500748
152,0.500498
153,0.500680
154,0.500400
155,0.500351
156,0.500370
157,0.500379
158,0.500856
159,0.500731
160,0.500427
161,0.500362
162,0.500756
163,0.500627
164,0.500355
165,0.500647
166,0.500739
167,0.500391
168,0.500509
169,0.501240
170,0.501110
171,0.500725
172,0.501012
173,0.500679
174,0.500614
175,0.500743
176,0.500868
177,0.500381
178,0.500814
179,0.501317
180,0.500183
181,0.500254
182,0.500621
183,0.500626
184,0.500563
185,0.500841
186,0.500450
187,0.500704
188,0.500662
189,0.500253
190,0.500614
191,0.500929
192,0.500577
193,0.500772
194,0.500762
195,0.500568
196,0.500732
197,0.500513
198,0.500478
199,0.500932
200,0.500254
201,0.500552
202,0.500382
203,0.500233
204,0.500458
205,0.501390
206,0.500791
207,0.500570
208,0.500545
209,0.500284
210,0.500435
211,0.500573
212,0.500876
213,0.500761
214,0.500534
215,0.500838
216,0.500590
217,0.500509
218,0.500861
219,0.500530
220,0.500246
221,0.500191
222,0.501171
223,0.501063
224,0.500293
225,0.500650
226,0.500402
227,0.500326
228,0.500764
229,0.500632
230,0.500672
231,0.500804
232,0.500115
233,0.500258
234,0.500297
235,0.500673
236,0.510191
237,0.500437
238,0.500595
239,0.500407
240,0.500707
241,0.500656
242,0.500134
243,0.500127
244,0.500644
245,0.500412
246,0.501052
247,0.500577
248,0.500464
249,0.500534
250,0.501003
251,0.500823
252,0.500473
253,0.500756
254,0.500857
255,0.501023
256,0.500611
257,0.500591
258,0.500376
259,0.500354
260,0.500699
261,0.500629
262,0.500665
263,0.500854
264,0.500931
265,0.501071
266,0.500509
267,0.500572
268,0.500577
269,0.500572
270,0.500762
271,0.500577
272,0.500555
273,0.500629
274,0.500418
275,0.500726
276,0.500167
277,0.500781
278,0.500852
279,0.500390
280,0.500379
281,0.501061
282,0.500864
283,0.500547
284,0.500530
285,0.500729
286,0.500384
287,0.500913
288,0.500981
289,0.500416
290,0.501076
291,0.500270
292,0.500480
293,0.500602
294,0.500352
295,0.500757
296,0.500288
297,0.500147
298,0.500733
299,0.500257
300,0.500668
301,0.500408
302,0.500723
303,0.500029
304,0.500197
305,0.500805
306,0.501050
307,0.500654
308,0.501052
309,0.500389
310,0.500660
311,0.500950
312,0.500534
313,0.500498
314,0.500526
315,0.510810
316,0.500678
317,0.500580
318,0.500614
319,0.500654
320,0.500836
321,0.500563
322,0.500033
323,0.500989
324,0.500923
325,0.500677
326,0.500385
327,0.500974
328,0.500862
329,0.500498
330,0.500865
331,0.500741
332,0.500423
333,0.500727
334,0.500186
335,0.500617
336,0.500709
337,0.500583
338,0.500797
339,0.500504
340,0.500496
341,0.500726
342,0.500621
343,0.500431
344,0.500676
345,0.501204
346,0.500370
347,0.500445
348,0.500524
349,0.501077
350,0.500567
351,0.500349
352,0.501191
353,0.500757
354,0.500315
355,0.500720
356,0.500695
357,0.500418
358,0.500489
359,0.500885
360,0.500177
361,0.500638
362,0.500853
363,0.500725
364,0.500170
365,0.500765
366,0.500607
367,0.500514
368,0.500719
369,0.500419
370,0.500725
371,0.501629
372,0.500373
373,0.500237
374,0.500395
375,0.500317
376,0.500696
377,0.499937
378,0.500553
379,0.500908
380,0.500334
381,0.500433
382,0.500573
383,0.501159
384,0.500655
385,0.510556
386,0.500630
387,0.500447
388,0.500335
389,0.500612
390,0.501725
391,0.500458
392,0.500842
393,0.500270
394,0.500576
395,0.500463
396,0.500814
397,0.500444
398,0.500730
399,0.500660
400,0.501085
401,0.500788
402,0.500649
403,0.500481
404,0.500880
405,0.500850
406,0.500145
407,0.500244
408,0.500699
409,0.501725
410,0.500511
411,0.500928
412,0.500319
413,0.500192
414,0.500955
415,0.500674
416,0.500519
417,0.500452
418,0.500632
419,0.500736
420,0.500447
421,0.518892
422,0.500469
423,0.500443
424,0.500299
425,0.500648
426,0.500703
427,0.500782
428,0.500528
429,0.500198
430,0.500729
431,0.500704
432,0.500346
433,0.500591
434,0.500333
435,0.500739
436,0.501092
437,0.500572
438,0.500391
439,0.500704
440,0.500221
441,0.500769
442,0.501049
443,0.500671
444,0.500694
445,0.500449
446,0.501124
447,0.500497
448,0.500658
449,0.500557
450,0.500346
451,0.500358
452,0.500510
453,0.501326
454,0.500518
455,0.500630
456,0.500678
457,0.500648
458,0.500592
459,0.500398
460,0.500194
461,0.500472
462,0.501129
463,0.500939
464,0.500589
465,0.500575
466,0.500773
467,0.500105
468,0.500423
469,0.500456
470,0.500589
471,0.500721
472,0.500712
473,0.500957
474,0.500541
475,0.500470
476,0.500705
477,0.500600
478,0.500701
479,0.500831
480,0.500949
481,0.501047
482,0.500553
483,0.500768
484,0.500729
485,0.500600
486,0.500376
487,0.500457
488,0.500553
489,0.500828
490,0.501014
491,0.500641
492,0.501173
493,0.500020
494,0.500978
495,0.500784
496,0.500848
497,0.500358
498,0.500813
499,0.500848
500,0.500899
501,0.500761
502,0.500480
503,0.500594
504,0.500327
505,0.500705
506,0.500661
507,0.500775
508,0.500441
509,0.501196
510,0.499927
511,0.500575
512,0.500540
513,0.500343
514,0.500264
515,0.500640
516,0.500815
517,0.510452
518,0.500666
519,0.500343
520,0.500474
521,0.500621
522,0.500568
523,0.500735
524,0.500429
525,0.500415
526,0.500188
527,0.500465
528,0.500615
529,0.500635
530,0.500640
531,0.500409
532,0.500463
533,0.500680
534,0.500489
535,0.500374
536,0.500616
537,0.501061
538,0.500562
539,0.500673
540,0.500506
541,0.500638
542,0.500546
543,0.500342
544,0.500257
545,0.500655
546,0.500465
547,0.500369
548,0.499951
549,0.500387
550,0.500464
551,0.500794
552,0.500391
553,0.500590
554,0.500543
555,0.500483
556,0.500660
557,0.500789
558,0.500523
559,0.500328
560,0.501025
561,0.500896
562,0.500458
563,0.501509
564,0.500439
565,0.500866
566,0.500341
567,0.500408
568,0.500152
569,0.500465
570,0.501001
571,0.500072
572,0.501109
573,0.500277
574,0.500391
575,0.500963
576,0.500946
577,0.500489
578,0.500479
579,0.500458
580,0.500548
581,0.500795
582,0.500631
583,0.500957
584,0.500450
585,0.500815
586,0.500780
587,0.500472
588,0.500495
589,0.500770
590,0.500430
591,0.500585
592,0.500447
593,0.500438
594,0.500848
595,0.500676
596,0.500840
597,0.500991
598,0.500389
599,0.500303
600,0.500586
601,0.500935
602,0.500404
603,0.500995
604,0.500749
605,0.500622
606,0.500769
607,0.500891
608,0.500465
609,0.500583
610,0.500326
611,0.500711
612,0.500363
613,0.500687
614,0.500349
615,0.500815
616,0.500359
617,0.500647
618,0.500722
619,0.500522
620,0.500962
621,0.500699
622,0.500585
623,0.500654
624,0.500431
625,0.500423
626,0.500624
627,0.500425
628,0.500349
629,0.500734
630,0.500680
631,0.500649
632,0.500605
633,0.500957
634,0.500712
635,0.500604
636,0.500830
637,0.500972
638,0.500624
639,0.500367
640,0.500798
641,0.500376
642,0.500400
643,0.500943
644,0.501116
645,0.500705
646,0.500359
647,0.500559
648,0.500473
649,0.500877
650,0.500251
651,0.501253
652,0.501018
653,0.500454
654,0.500686
655,0.500409
656,0.500869
657,0.500568
658,0.500797
659,0.500928
660,0.500611
661,0.500959
662,0.500704
663,0.500730
664,0.500676
665,0.500520
666,0.500106
667,0.500453
668,0.500540
669,0.500835
670,0.500187
671,0.500330
672,0.500731
673,0.500169
674,0.500562
675,0.500518
676,0.500898
677,0.500485
678,0.500589
679,0.500503
680,0.500698
681,0.500589
682,0.500160
683,0.501200
684,0.500634
685,0.500343
686,0.501049
687,0.500673
688,0.500977
689,0.500726
690,0.500704
691,0.500961
692,0.500735
693,0.500333
694,0.500688
695,0.500575
696,0.500058
697,0.500983
698,0.500453
699,0.501191
700,0.500597
701,0.500700
702,0.500680
703,0.500686
704,0.500490
705,0.500473
706,0.500308
707,0.500823
708,0.501057
709,0.500675
710,0.500763
711,0.500613
712,0.500617
713,0.501070
714,0.500952
715,0.501015
716,0.500304
717,0.500913
718,0.500698
719,0.500727
720,0.500409
721,0.500060
722,0.500624
723,0.500490
724,0.500279
725,0.500421
726,0.500530
727,0.500397
728,0.500872
729,0.500431
730,0.500539
731,0.500289
732,0.500926
733,0.500696
734,0.501290
735,0.500584
736,0.500258
737,0.500428
738,0.500766
739,0.500439
740,0.500702
741,0.500648
742,0.500527
743,0.501028
744,0.500470
745,0.500556
746,0.500551
747,0.500769
748,0.500726
749,0.500539
750,0.501292
751,0.500371
752,0.500827
753,0.500505
754,0.500806
755,0.500703
756,0.500289
757,0.501260
758,0.500738
759,0.500502
760,0.500356
761,0.500309
762,0.500483
763,0.500633
764,0.500533
765,0.500578
766,0.500607
767,0.500469
768,0.501381
769,0.500752
770,0.500661
771,0.500907
772,0.500381
773,0.500732
774,0.500363
775,0.500611
776,0.500170
777,0.500825
778,0.500479
779,0.500689
780,0.500198
781,0.500225
782,0.500923
783,0.501071
784,0.500317
785,0.500116
786,0.500591
787,0.500488
788,0.500367
789,0.500597
790,0.500607
791,0.500409
792,0.500978
793,0.500541
794,0.500569
795,0.500549
796,0.500319
797,0.501260
798,0.500917
799,0.500487
800,0.500845
801,0.501136
802,0.500954
803,0.500390
804,0.500649
805,0.500519
806,0.500715
807,0.500228
808,0.500242
809,0.500990
810,0.500826
811,0.500571
812,0.500304
813,0.500515
814,0.500270
815,0.500139
816,0.501088
817,0.500792
818,0.500468
819,0.500452
820,0.500625
821,0.500533
822,0.500875
823,0.501106
824,0.500681
825,0.500738
826,0.500184
827,0.501029
828,0.500579
829,0.500804
830,0.500728
831,0.500485
832,0.501575
833,0.500904
834,0.500597
835,0.500816
836,0.500854
837,0.500614
838,0.501185
839,0.500250
840,0.500274
