id,ACTION
1,0.912711
2,0.995642
3,0.996168
4,0.993828
5,0.997974
6,0.993168
7,0.997322
8,0.998930
9,0.866150
10,0.992182
11,0.980435
12,0.992429
13,0.993203
14,0.993152
15,0.957381
16,0.943604
17,0.953132
18,0.991161
19,0.993931
20,0.996631
21,0.999458
22,0.998908
23,0.994130
24,0.989889
25,0.996621
26,0.964012
27,0.992763
28,0.990537
29,0.994756
30,0.982335
31,0.998005
32,0.991985
33,0.995124
34,0.996473
35,0.996639
36,0.994945
37,0.989777
38,0.998022
39,0.985657
40,0.979314
41,0.987280
42,0.994854
43,0.993277
44,0.997653
45,0.993221
46,0.996556
47,0.995626
48,0.991013
49,0.999285
50,0.993491
51,0.987997
52,0.997579
53,0.994653
54,0.994231
55,0.991232
56,0.993006
57,0.988817
58,0.998248
59,0.994797
60,0.992502
61,0.997498
62,0.998014
63,0.986348
64,0.997005
65,0.998488
66,0.997604
67,0.984448
68,0.996576
69,0.969234
70,0.804720
71,0.994062
72,0.994925
73,0.995582
74,0.998546
75,0.993492
76,0.993761
77,0.997474
78,0.985468
79,0.631742
80,0.999047
81,0.994174
82,0.998773
83,0.991589
84,0.994639
85,0.995250
86,0.991321
87,0.990176
88,0.994267
89,0.996748
90,0.944193
91,0.982146
92,0.959176
93,0.994953
94,0.995450
95,0.996710
96,0.992011
97,0.279598
98,0.992785
99,0.993694
100,0.996215
101,0.992053
102,0.789188
103,0.990407
104,0.995170
105,0.509070
106,0.997827
107,0.995102
108,0.993222
109,0.996218
110,0.994254
111,0.927202
112,0.996194
113,0.990768
114,0.988124
115,0.994134
116,0.993440
117,0.991001
118,0.994883
119,0.998918
120,0.993009
121,0.954998
122,0.990765
123,0.993460
124,0.993549
125,0.995242
126,0.992222
127,0.950852
128,0.975293
129,0.971252
130,0.993976
131,0.997455
132,0.997362
133,0.992189
134,0.957440
135,0.994105
136,0.991439
137,0.997265
138,0.988774
139,0.978339
140,0.996421
141,0.997367
142,0.988184
143,0.996399
144,0.994515
145,0.996174
146,0.931798
147,0.911613
148,0.976485
149,0.997843
150,0.993000
151,0.993826
152,0.913222
153,0.995482
154,0.983923
155,0.996706
156,0.980376
157,0.994721
158,0.992346
159,0.853556
160,0.995543
161,0.955081
162,0.994283
163,0.996228
164,0.993748
165,0.997100
166,0.995218
167,0.978520
168,0.996868
169,0.994663
170,0.996644
171,0.992124
172,0.991598
173,0.976893
174,0.994841
175,0.993574
176,0.993491
177,0.939061
178,0.995749
179,0.999509
180,0.975251
181,0.689853
182,0.992241
183,0.952035
184,0.980383
185,0.993787
186,0.996792
187,0.994668
188,0.984765
189,0.521197
190,0.995212
191,0.998228
192,0.988794
193,0.998232
194,0.994804
195,0.987331
196,0.999203
197,0.995398
198,0.993905
199,0.994314
200,0.614520
201,0.991709
202,0.985489
203,0.987939
204,0.988744
205,0.991114
206,0.984574
207,0.998268
208,0.993382
209,0.888767
210,0.746484
211,0.988370
212,0.990225
213,0.996026
214,0.993051
215,0.996179
216,0.919372
217,0.993129
218,0.993636
219,0.994276
220,0.997626
221,0.811129
222,0.999097
223,0.991344
224,0.990723
225,0.995795
226,0.809036
227,0.967423
228,0.998627
229,0.998294
230,0.996744
231,0.986430
232,0.976739
233,0.990409
234,0.198403
235,0.986271
236,0.964834
237,0.998169
238,0.993763
239,0.902860
240,0.996829
241,0.989295
242,0.747104
243,0.514019
244,0.994513
245,0.996623
246,0.999588
247,0.990496
248,0.993274
249,0.997827
250,0.997464
251,0.996630
252,0.986370
253,0.994717
254,0.990115
255,0.996550
256,0.992521
257,0.991320
258,0.986877
259,0.997400
260,0.997462
261,0.993818
262,0.981637
263,0.992982
264,0.996310
265,0.994932
266,0.992248
267,0.998353
268,0.994833
269,0.997503
270,0.997635
271,0.992567
272,0.986118
273,0.997315
274,0.577219
275,0.995592
276,0.853244
277,0.996532
278,0.996650
279,0.992408
280,0.993969
281,0.998863
282,0.995856
283,0.992071
284,0.992398
285,0.994357
286,0.979549
287,0.999103
288,0.993691
289,0.995764
290,0.996906
291,0.933142
292,0.949406
293,0.995740
294,0.986649
295,0.986160
296,0.187963
297,0.379887
298,0.975914
299,0.949644
300,0.997651
301,0.898462
302,0.995777
303,0.938249
304,0.989166
305,0.997478
306,0.995880
307,0.991571
308,0.998811
309,0.994385
310,0.996256
311,0.997047
312,0.996123
313,0.997661
314,0.994122
315,0.996157
316,0.993169
317,0.944889
318,0.997492
319,0.989921
320,0.999657
321,0.995199
322,0.179328
323,0.997881
324,0.995728
325,0.991422
326,0.970715
327,0.999314
328,0.998882
329,0.994914
330,0.997370
331,0.996853
332,0.993978
333,0.997602
334,0.980885
335,0.997032
336,0.988973
337,0.992514
338,0.983155
339,0.996785
340,0.990556
341,0.993854
342,0.994136
343,0.991203
344,0.996882
345,0.999027
346,0.992085
347,0.993124
348,0.988595
349,0.999048
350,0.894678
351,0.988313
352,0.999379
353,0.995055
354,0.944639
355,0.997633
356,0.997066
357,0.987311
358,0.995238
359,0.996957
360,0.553746
361,0.985893
362,0.995970
363,0.987069
364,0.966733
365,0.998535
366,0.996585
367,0.983594
368,0.997441
369,0.985032
370,0.998369
371,0.993370
372,0.992108
373,0.841816
374,0.327909
375,0.987371
376,0.995532
377,0.667048
378,0.992820
379,0.996931
380,0.831702
381,0.904564
382,0.992305
383,0.999335
384,0.994905
385,0.989587
386,0.994656
387,0.860082
388,0.978654
389,0.995432
390,0.994561
391,0.943563
392,0.999304
393,0.982160
394,0.997011
395,0.984858
396,0.997460
397,0.997523
398,0.993689
399,0.996370
400,0.992755
401,0.993860
402,0.994544
403,0.995368
404,0.986983
405,0.998260
406,0.989000
407,0.982688
408,0.993694
409,0.991698
410,0.996316
411,0.998982
412,0.951749
413,0.966537
