id,ACTION
1,0.500190
2,0.499547
3,0.501353
4,0.501053
5,0.511061
6,0.501754
7,0.500435
8,0.503547
9,0.500778
10,0.500909
11,0.500543
12,0.501264
13,0.500545
14,0.500158
15,0.500541
16,0.500094
17,0.500493
18,0.499923
19,0.501295
20,0.501092
21,0.501460
22,0.500853
23,0.500678
24,0.500736
25,0.500875
26,0.500781
27,0.501153
28,0.500729
29,0.500974
30,0.500860
31,0.501214
32,0.502178
33,0.501392
34,0.501241
35,0.501214
36,0.501066
37,0.501396
38,0.501778
39,0.500662
40,0.500713
41,0.500836
42,0.501876
43,0.501636
44,0.500907
45,0.501047
46,0.500614
47,0.501034
48,0.500936
49,0.502251
50,0.500887
51,0.500983
52,0.501617
53,0.501538
54,0.501235
55,0.500730
56,0.500384
57,0.501031
58,0.501303
59,0.500837
60,0.501150
61,0.501081
62,0.501154
63,0.509301
64,0.501613
65,0.501981
66,0.499959
67,0.500725
68,0.501745
69,0.501264
70,0.500036
71,0.501658
72,0.501024
73,0.501343
74,0.500916
75,0.501588
76,0.501467
77,0.501222
78,0.501079
79,0.500235
80,0.501299
81,0.501835
82,0.501194
83,0.501213
84,0.509532
85,0.501870
86,0.500245
87,0.501302
88,0.501144
89,0.501304
90,0.500013
91,0.501107
92,0.499872
93,0.501592
94,0.500868
95,0.501372
96,0.500480
97,0.499679
98,0.501162
99,0.501576
100,0.501849
101,0.501369
102,0.499681
103,0.500885
104,0.500690
105,0.491923
106,0.501142
107,0.501262
108,0.500870
109,0.501269
110,0.500820
111,0.500069
112,0.501085
113,0.500708
114,0.502037
115,0.500901
116,0.501214
117,0.500618
118,0.508827
119,0.501099
120,0.501074
121,0.501781
122,0.501064
123,0.500509
124,0.501757
125,0.501954
126,0.500587
127,0.500076
128,0.500462
129,0.500343
130,0.500930
131,0.501716
132,0.501666
133,0.500947
134,0.500070
135,0.501745
136,0.509398
137,0.501195
138,0.501064
139,0.500587
140,0.502957
141,0.501274
142,0.501123
143,0.501305
